Warning this test is running in real-time and may be flaky.
FAIL - "webkitTransform.5" property for "box" element at 0.4s expected: 0 but saw: matrix(1, 0, 0, 1, 400, 100)

Log:
21.310000000084983 - runAnimationTest
23.797000000058688 - First webkitAnimationStart event fired
23.85500000002594 - Finished waiting for animations to start
316.8880000000627 - RAF callback, animation time: 293.02000000006956
318.0050000000847 - RAF callback, animation time: 294.13499999998294
319.3340000000262 - RAF callback, animation time: 295.46400000003814
320.459000000028 - RAF callback, animation time: 296.58900000003996
321.63500000001477 - RAF callback, animation time: 297.7610000000368
323.00400000008267 - RAF callback, animation time: 298.823000000084
323.957000000064 - RAF callback, animation time: 300.0880000000734
325.2469999999903 - RAF callback, animation time: 301.3779999999997
326.3480000000527 - RAF callback, animation time: 302.4790000000621
327.4700000000621 - RAF callback, animation time: 303.602000000069
328.5680000000184 - RAF callback, animation time: 304.7000000000253
329.710000000091 - RAF callback, animation time: 305.8409999999867
331.6460000000916 - RAF callback, animation time: 307.71500000003016
332.69400000006044 - RAF callback, animation time: 308.82500000006985
333.83100000003196 - RAF callback, animation time: 309.95000000007167
334.9279999999908 - RAF callback, animation time: 311.0580000000027
336.07500000005075 - RAF callback, animation time: 312.20700000005763
337.8850000000284 - RAF callback, animation time: 314.01500000004035
339.334000000008 - RAF callback, animation time: 315.46400000001995
341.1030000000892 - RAF callback, animation time: 317.2339999999849
345.0880000000325 - RAF callback, animation time: 321.20800000006966
345.8860000000641 - RAF callback, animation time: 322.0170000000735
347.0110000000659 - RAF callback, animation time: 323.14000000008036
348.12700000009045 - RAF callback, animation time: 324.2559999999912
349.2300000000341 - RAF callback, animation time: 325.362000000041
350.32699999999295 - RAF callback, animation time: 326.45899999999983
351.4340000000402 - RAF callback, animation time: 327.5650000000496
352.5600000000395 - RAF callback, animation time: 328.6910000000489
353.7690000000566 - RAF callback, animation time: 329.89900000006855
354.79000000009364 - RAF callback, animation time: 330.92199999998684
355.9730000000627 - RAF callback, animation time: 332.10300000007464
357.0830000001024 - RAF callback, animation time: 333.2149999999956
358.1890000000385 - RAF callback, animation time: 334.3210000000454
359.2950000000883 - RAF callback, animation time: 335.4270000000952
360.40200000002187 - RAF callback, animation time: 336.53400000002875
361.50900000006914 - RAF callback, animation time: 337.64300000007097
362.6330000000735 - RAF callback, animation time: 338.7640000000829
363.7390000000096 - RAF callback, animation time: 339.87100000001647
365.3430000000526 - RAF callback, animation time: 341.474000000062
366.48200000001907 - RAF callback, animation time: 342.61400000002595
367.5910000000613 - RAF callback, animation time: 343.72300000006817
369.02900000006866 - RAF callback, animation time: 345.16000000007807
370.1340000000073 - RAF callback, animation time: 346.2650000000167
371.34500000001935 - RAF callback, animation time: 347.47600000002876
372.4799999999959 - RAF callback, animation time: 348.61100000000533
373.6260000000584 - RAF callback, animation time: 349.75600000007034
374.7010000000728 - RAF callback, animation time: 350.83300000007966
375.80100000002403 - RAF callback, animation time: 351.9340000000284
376.89499999999043 - RAF callback, animation time: 353.0279999999948
378.0380000000605 - RAF callback, animation time: 354.1680000000724
379.16100000006736 - RAF callback, animation time: 355.29200000007677
380.26400000001104 - RAF callback, animation time: 356.3960000000179
381.36900000006335 - RAF callback, animation time: 357.50000000007276
382.4769999999944 - RAF callback, animation time: 358.59900000002654
383.56400000009216 - RAF callback, animation time: 359.69599999998536
384.6880000000965 - RAF callback, animation time: 360.8150000000023
385.7660000001033 - RAF callback, animation time: 361.898999999994
386.8560000000798 - RAF callback, animation time: 362.98900000008416
387.9660000000058 - RAF callback, animation time: 364.0980000000127
389.1080000000784 - RAF callback, animation time: 365.2390000000878
390.2170000000069 - RAF callback, animation time: 366.3480000000163
391.3270000000466 - RAF callback, animation time: 367.458000000056
392.4440000000686 - RAF callback, animation time: 368.57400000008056
393.6190000000579 - RAF callback, animation time: 369.7460000000774
394.9530000001005 - RAF callback, animation time: 371.0839999999962
396.0739999999987 - RAF callback, animation time: 372.2050000000081
397.1760000000586 - RAF callback, animation time: 373.3080000000655
398.28800000009323 - RAF callback, animation time: 374.41899999998896
399.407999999994 - RAF callback, animation time: 375.5400000000009
400.51600000003873 - RAF callback, animation time: 376.6490000000431
401.6579999999976 - RAF callback, animation time: 377.7900000000045
402.7720000000272 - RAF callback, animation time: 378.9030000000366
403.9340000000493 - RAF callback, animation time: 380.0650000000587
405.79200000001947 - RAF callback, animation time: 381.9210000000339
406.90600000004906 - RAF callback, animation time: 383.03700000005847
408.0060000000003 - RAF callback, animation time: 384.1380000000072
409.1510000000653 - RAF callback, animation time: 385.28100000007726
410.2660000000924 - RAF callback, animation time: 386.3969999999881
411.3630000000512 - RAF callback, animation time: 387.4950000000581
412.46699999999237 - RAF callback, animation time: 388.59899999999925
413.6200000000372 - RAF callback, animation time: 389.70900000003894
414.6920000000591 - RAF callback, animation time: 390.824000000066
415.8060000000887 - RAF callback, animation time: 391.9380000000956
416.91100000002734 - RAF callback, animation time: 393.0430000000342
418.0180000000746 - RAF callback, animation time: 394.1500000000815
419.1970000000538 - RAF callback, animation time: 395.3280000000632
420.30300000010357 - RAF callback, animation time: 396.43499999999676
421.41400000002704 - RAF callback, animation time: 397.5460000000339
422.5210000000743 - RAF callback, animation time: 398.6530000000812
423.65000000006603 - RAF callback, animation time: 399.78100000007544
424.8280000000477 - RAF callback, animation time: 400.9600000000546
424.86300000007304 - Running checks for time: 400, delay: 0.9600000000546061
424.99400000008336 - Checking expectation: [null,0.4,"box","webkitTransform.5",0,0]
427.2130000000516 - Ending test
