Warning this test is running in real-time and may be flaky.
FAIL - "webkitTransform.5" property for "box" element at 0.4s expected: 0 but saw: matrix(1, 0, 0, 1, 400, 100)

Log:
9.127000000034968 - runAnimationTest
10.711000000014792 - First webkitAnimationStart event fired
10.740000000055261 - Finished waiting for animations to start
248.2230000000527 - RAF callback, animation time: 237.47000000003027
249.35000000004948 - RAF callback, animation time: 238.5980000000245
250.47800000004372 - RAF callback, animation time: 239.72500000002128
251.61200000002282 - RAF callback, animation time: 240.85999999999785
252.7390000000196 - RAF callback, animation time: 241.98699999999462
253.87000000000626 - RAF callback, animation time: 243.1179999999813
255.00399999998535 - RAF callback, animation time: 244.25099999996291
256.1319999999796 - RAF callback, animation time: 245.37899999995716
257.2780000000421 - RAF callback, animation time: 246.52600000001712
258.42599999998583 - RAF callback, animation time: 247.67399999996087
259.5760000000382 - RAF callback, animation time: 248.82400000001326
260.7100000000173 - RAF callback, animation time: 249.95799999999235
261.8449999999939 - RAF callback, animation time: 251.09199999997145
262.9739999999856 - RAF callback, animation time: 252.22099999996317
264.1110000000708 - RAF callback, animation time: 253.35899999993217
265.2739999999767 - RAF callback, animation time: 254.52199999995173
266.3830000000189 - RAF callback, animation time: 255.63099999999395
267.592000000036 - RAF callback, animation time: 256.84000000001106
268.7030000000732 - RAF callback, animation time: 257.95099999993454
269.83100000006743 - RAF callback, animation time: 259.0779999999313
270.9100000000717 - RAF callback, animation time: 260.15799999993305
272.01400000001286 - RAF callback, animation time: 261.2619999999879
273.0910000000222 - RAF callback, animation time: 262.3389999999972
274.1959999999608 - RAF callback, animation time: 263.44399999993584
275.31199999998535 - RAF callback, animation time: 264.5599999999604
276.4600000000428 - RAF callback, animation time: 265.70700000002034
277.5810000000547 - RAF callback, animation time: 266.82800000003226
278.7220000000161 - RAF callback, animation time: 267.96999999999116
279.87100000007104 - RAF callback, animation time: 269.1189999999324
281.0620000000199 - RAF callback, animation time: 270.30999999999494
282.1290000000545 - RAF callback, animation time: 271.3770000000295
283.2290000000057 - RAF callback, animation time: 272.46999999999844
284.32199999997465 - RAF callback, animation time: 273.5699999999497
285.4690000000346 - RAF callback, animation time: 274.7160000000122
286.56200000000354 - RAF callback, animation time: 275.8099999999786
287.6250000000482 - RAF callback, animation time: 276.87300000002324
288.72499999999945 - RAF callback, animation time: 277.9729999999745
