Warning this test is running in real-time and may be flaky.
FAIL - "webkitTransform.5" property for "box" element at 0.4s expected: 0 but saw: matrix(1, 0, 0, 1, 400, 100)

Log:
17.170999999962078 - runAnimationTest
19.709999999918182 - First webkitAnimationStart event fired
19.780999999966298 - Finished waiting for animations to start
281.0739999999896 - RAF callback, animation time: 261.25899999999547
282.20699999997123 - RAF callback, animation time: 262.39300000008825
283.3409999999503 - RAF callback, animation time: 263.52600000006987
284.4839999999067 - RAF callback, animation time: 264.6700000000237
285.61899999999696 - RAF callback, animation time: 265.8040000000028
286.75399999997353 - RAF callback, animation time: 266.9390000000931
287.8889999999501 - RAF callback, animation time: 268.0750000000671
289.03999999999996 - RAF callback, animation time: 269.2260000000033
290.1919999999336 - RAF callback, animation time: 270.37800000005063
291.32399999991776 - RAF callback, animation time: 271.5100000000348
292.4599999998918 - RAF callback, animation time: 272.64500000001135
293.5939999999846 - RAF callback, animation time: 273.7799999999879
294.72999999995864 - RAF callback, animation time: 274.9150000000782
295.8649999999352 - RAF callback, animation time: 276.05000000005475
297.00099999990925 - RAF callback, animation time: 277.1870000000263
298.15799999994397 - RAF callback, animation time: 278.344000000061
299.29299999992054 - RAF callback, animation time: 279.4780000000401
300.4439999999704 - RAF callback, animation time: 280.6300000000874
301.576999999952 - RAF callback, animation time: 281.76200000007157
302.7079999999387 - RAF callback, animation time: 282.89300000005824
303.8449999999102 - RAF callback, animation time: 284.03000000002976
305.0079999999298 - RAF callback, animation time: 285.1780000000872
306.1319999999341 - RAF callback, animation time: 286.31700000005367
307.2659999999132 - RAF callback, animation time: 287.45100000003276
308.39899999989484 - RAF callback, animation time: 288.5840000000144
309.5419999999649 - RAF callback, animation time: 289.72700000008444
310.6749999999465 - RAF callback, animation time: 290.86000000006607
311.82299999989027 - RAF callback, animation time: 292.0090000000073
312.9709999999477 - RAF callback, animation time: 293.15600000006725
314.1329999999698 - RAF callback, animation time: 294.31800000008934
315.26399999995647 - RAF callback, animation time: 295.449000000076
